query,intent,entities
Retrieve my blood test results from,retrieve_document,{'DOCUMENT_TYPE': 'blood test results'}
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
Is an ultrasound painful?,medical_query,{}
Cancel my  appointment for afternoon September 2nd,cancel_test,"{'TIME': 'afternoon', 'DATE': 'September 2nd'}"
I want to book a ECG for  June 21st,book_test,"{'TEST_TYPE': 'ECG', 'DATE': 'June 21st'}"
Do I need to avoid metal objects for an MRI?,medical_query,{}
Cancel my ultrasound appointment for next week July 15th,cancel_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'next week', 'DATE': 'July 15th'}"
Is it safe to eat before a cholesterol test?,medical_query,{}
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
Can I take my medications before an ECG?,medical_query,{}
Retrieve my discharge summary from,retrieve_document,{'DOCUMENT_TYPE': 'discharge summary'}
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
Retrieve my discharge summary from July 15th,retrieve_document,"{'DOCUMENT_TYPE': 'discharge summary', 'DATE': 'July 15th'}"
I need to upload my blood test results,upload_document,{'DOCUMENT_TYPE': 'blood test results'}
I want to book a thyroid test for  June 21st,book_test,"{'TEST_TYPE': 'thyroid test', 'DATE': 'June 21st'}"
I want to book a thyroid test for in two days,book_test,"{'TEST_TYPE': 'thyroid test', 'TIME': 'in two days'}"
Retrieve my prescription from,retrieve_document,{'DOCUMENT_TYPE': 'prescription'}
I want to book a ultrasound for morning August 30th,book_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'morning', 'DATE': 'August 30th'}"
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
Cancel my  appointment for morning April 10th,cancel_test,"{'TIME': 'morning', 'DATE': 'April 10th'}"
Retrieve my prescription from June 21st,retrieve_document,"{'DOCUMENT_TYPE': 'prescription', 'DATE': 'June 21st'}"
I want to book a blood test for  July 15th,book_test,"{'TEST_TYPE': 'blood test', 'DATE': 'July 15th'}"
Retrieve my MRI scan from July 15th,retrieve_document,"{'DOCUMENT_TYPE': 'MRI scan', 'DATE': 'July 15th'}"
I need to upload my blood test results,upload_document,{'DOCUMENT_TYPE': 'blood test results'}
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
Can I take my medications before an ECG?,medical_query,{}
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
Cancel my  appointment for night,cancel_test,{'TIME': 'night'}
I need to upload my blood test results,upload_document,{'DOCUMENT_TYPE': 'blood test results'}
Should I fast before my blood test?,medical_query,{}
I want to book a ultrasound for next month,book_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'next month'}"
Cancel my CT scan appointment for evening March 5th,cancel_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'evening', 'DATE': 'March 5th'}"
Retrieve my blood test results from June 21st,retrieve_document,"{'DOCUMENT_TYPE': 'blood test results', 'DATE': 'June 21st'}"
I want to book a CT scan for,book_test,{'TEST_TYPE': 'CT scan'}
Cancel my  appointment for night April 10th,cancel_test,"{'TIME': 'night', 'DATE': 'April 10th'}"
I want to book a MRI for night April 10th,book_test,"{'TEST_TYPE': 'MRI', 'TIME': 'night', 'DATE': 'April 10th'}"
Can I drink coffee before an ultrasound?,medical_query,{}
Retrieve my prescription from,retrieve_document,{'DOCUMENT_TYPE': 'prescription'}
Retrieve my blood test results from March 5th,retrieve_document,"{'DOCUMENT_TYPE': 'blood test results', 'DATE': 'March 5th'}"
Do I need to avoid metal objects for an MRI?,medical_query,{}
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
Retrieve my prescription from,retrieve_document,{'DOCUMENT_TYPE': 'prescription'}
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
Cancel my X-ray appointment for  August 30th,cancel_test,"{'TEST_TYPE': 'X-ray', 'DATE': 'August 30th'}"
Cancel my  appointment for evening August 30th,cancel_test,"{'TIME': 'evening', 'DATE': 'August 30th'}"
Can I drink coffee before an ultrasound?,medical_query,{}
I want to book a thyroid test for in two days July 15th,book_test,"{'TEST_TYPE': 'thyroid test', 'TIME': 'in two days', 'DATE': 'July 15th'}"
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
Is an ultrasound painful?,medical_query,{}
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
I want to book a blood test for next week June 21st,book_test,"{'TEST_TYPE': 'blood test', 'TIME': 'next week', 'DATE': 'June 21st'}"
Cancel my  appointment for in two days June 21st,cancel_test,"{'TIME': 'in two days', 'DATE': 'June 21st'}"
Cancel my  appointment for next week September 2nd,cancel_test,"{'TIME': 'next week', 'DATE': 'September 2nd'}"
Cancel my blood test appointment for  March 5th,cancel_test,"{'TEST_TYPE': 'blood test', 'DATE': 'March 5th'}"
I want to book a ECG for,book_test,{'TEST_TYPE': 'ECG'}
Retrieve my prescription from April 10th,retrieve_document,"{'DOCUMENT_TYPE': 'prescription', 'DATE': 'April 10th'}"
Can I drink coffee before an ultrasound?,medical_query,{}
Cancel my MRI appointment for morning,cancel_test,"{'TEST_TYPE': 'MRI', 'TIME': 'morning'}"
Retrieve my discharge summary from April 10th,retrieve_document,"{'DOCUMENT_TYPE': 'discharge summary', 'DATE': 'April 10th'}"
Cancel my MRI appointment for morning August 30th,cancel_test,"{'TEST_TYPE': 'MRI', 'TIME': 'morning', 'DATE': 'August 30th'}"
I want to book a ultrasound for in two days August 30th,book_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'in two days', 'DATE': 'August 30th'}"
Retrieve my blood test results from April 10th,retrieve_document,"{'DOCUMENT_TYPE': 'blood test results', 'DATE': 'April 10th'}"
I want to book a ultrasound for  July 15th,book_test,"{'TEST_TYPE': 'ultrasound', 'DATE': 'July 15th'}"
How long does a CT scan take?,medical_query,{}
What should I wear for an X-ray?,medical_query,{}
Retrieve my discharge summary from,retrieve_document,{'DOCUMENT_TYPE': 'discharge summary'}
I want to book a CT scan for morning March 5th,book_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'morning', 'DATE': 'March 5th'}"
Retrieve my blood test results from June 21st,retrieve_document,"{'DOCUMENT_TYPE': 'blood test results', 'DATE': 'June 21st'}"
Retrieve my blood test results from,retrieve_document,{'DOCUMENT_TYPE': 'blood test results'}
Can I take my medications before an ECG?,medical_query,{}
I want to book a X-ray for next week April 10th,book_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'next week', 'DATE': 'April 10th'}"
Cancel my ECG appointment for  August 30th,cancel_test,"{'TEST_TYPE': 'ECG', 'DATE': 'August 30th'}"
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
Cancel my ultrasound appointment for afternoon April 10th,cancel_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'afternoon', 'DATE': 'April 10th'}"
Should I fast before my blood test?,medical_query,{}
Retrieve my MRI scan from August 30th,retrieve_document,"{'DOCUMENT_TYPE': 'MRI scan', 'DATE': 'August 30th'}"
Cancel my  appointment for evening July 15th,cancel_test,"{'TIME': 'evening', 'DATE': 'July 15th'}"
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
I want to book a thyroid test for next month August 30th,book_test,"{'TEST_TYPE': 'thyroid test', 'TIME': 'next month', 'DATE': 'August 30th'}"
Is it safe to eat before a cholesterol test?,medical_query,{}
Retrieve my discharge summary from,retrieve_document,{'DOCUMENT_TYPE': 'discharge summary'}
Is an ultrasound painful?,medical_query,{}
Retrieve my prescription from March 5th,retrieve_document,"{'DOCUMENT_TYPE': 'prescription', 'DATE': 'March 5th'}"
Retrieve my blood test results from,retrieve_document,{'DOCUMENT_TYPE': 'blood test results'}
Retrieve my prescription from,retrieve_document,{'DOCUMENT_TYPE': 'prescription'}
I want to book a ECG for  March 5th,book_test,"{'TEST_TYPE': 'ECG', 'DATE': 'March 5th'}"
I want to book a thyroid test for afternoon April 10th,book_test,"{'TEST_TYPE': 'thyroid test', 'TIME': 'afternoon', 'DATE': 'April 10th'}"
Cancel my MRI appointment for in two days August 30th,cancel_test,"{'TEST_TYPE': 'MRI', 'TIME': 'in two days', 'DATE': 'August 30th'}"
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
Cancel my  appointment for,cancel_test,{}
Should I fast before my blood test?,medical_query,{}
Cancel my  appointment for tomorrow March 5th,cancel_test,"{'TIME': 'tomorrow', 'DATE': 'March 5th'}"
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
I want to book a X-ray for  September 2nd,book_test,"{'TEST_TYPE': 'X-ray', 'DATE': 'September 2nd'}"
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
Retrieve my discharge summary from September 2nd,retrieve_document,"{'DOCUMENT_TYPE': 'discharge summary', 'DATE': 'September 2nd'}"
Retrieve my prescription from March 5th,retrieve_document,"{'DOCUMENT_TYPE': 'prescription', 'DATE': 'March 5th'}"
Retrieve my MRI scan from,retrieve_document,{'DOCUMENT_TYPE': 'MRI scan'}
Cancel my ECG appointment for morning September 2nd,cancel_test,"{'TEST_TYPE': 'ECG', 'TIME': 'morning', 'DATE': 'September 2nd'}"
I want to book a thyroid test for next week March 5th,book_test,"{'TEST_TYPE': 'thyroid test', 'TIME': 'next week', 'DATE': 'March 5th'}"
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
Cancel my X-ray appointment for afternoon April 10th,cancel_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'afternoon', 'DATE': 'April 10th'}"
Can I take my medications before an ECG?,medical_query,{}
Retrieve my MRI scan from June 21st,retrieve_document,"{'DOCUMENT_TYPE': 'MRI scan', 'DATE': 'June 21st'}"
Is an ultrasound painful?,medical_query,{}
I want to book a ECG for evening March 5th,book_test,"{'TEST_TYPE': 'ECG', 'TIME': 'evening', 'DATE': 'March 5th'}"
Cancel my ECG appointment for in two days April 10th,cancel_test,"{'TEST_TYPE': 'ECG', 'TIME': 'in two days', 'DATE': 'April 10th'}"
Cancel my  appointment for night,cancel_test,{'TIME': 'night'}
Retrieve my prescription from,retrieve_document,{'DOCUMENT_TYPE': 'prescription'}
I want to book a cholesterol test for  September 2nd,book_test,"{'TEST_TYPE': 'cholesterol test', 'DATE': 'September 2nd'}"
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
Cancel my blood test appointment for in two days,cancel_test,"{'TEST_TYPE': 'blood test', 'TIME': 'in two days'}"
I want to book a ECG for morning August 30th,book_test,"{'TEST_TYPE': 'ECG', 'TIME': 'morning', 'DATE': 'August 30th'}"
Cancel my  appointment for  September 2nd,cancel_test,{'DATE': 'September 2nd'}
Should I fast before my blood test?,medical_query,{}
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
Retrieve my blood test results from,retrieve_document,{'DOCUMENT_TYPE': 'blood test results'}
Cancel my ECG appointment for afternoon August 30th,cancel_test,"{'TEST_TYPE': 'ECG', 'TIME': 'afternoon', 'DATE': 'August 30th'}"
I want to book a cholesterol test for next month April 10th,book_test,"{'TEST_TYPE': 'cholesterol test', 'TIME': 'next month', 'DATE': 'April 10th'}"
Retrieve my blood test results from April 10th,retrieve_document,"{'DOCUMENT_TYPE': 'blood test results', 'DATE': 'April 10th'}"
Retrieve my X-ray report from March 5th,retrieve_document,"{'DOCUMENT_TYPE': 'X-ray report', 'DATE': 'March 5th'}"
Is an ultrasound painful?,medical_query,{}
Retrieve my blood test results from,retrieve_document,{'DOCUMENT_TYPE': 'blood test results'}
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
Can I drink coffee before an ultrasound?,medical_query,{}
Cancel my CT scan appointment for  March 5th,cancel_test,"{'TEST_TYPE': 'CT scan', 'DATE': 'March 5th'}"
I want to book a ECG for,book_test,{'TEST_TYPE': 'ECG'}
I want to book a ultrasound for  March 5th,book_test,"{'TEST_TYPE': 'ultrasound', 'DATE': 'March 5th'}"
Retrieve my discharge summary from March 5th,retrieve_document,"{'DOCUMENT_TYPE': 'discharge summary', 'DATE': 'March 5th'}"
Cancel my blood test appointment for,cancel_test,{'TEST_TYPE': 'blood test'}
I want to book a X-ray for morning August 30th,book_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'morning', 'DATE': 'August 30th'}"
Retrieve my MRI scan from,retrieve_document,{'DOCUMENT_TYPE': 'MRI scan'}
I want to book a thyroid test for  September 2nd,book_test,"{'TEST_TYPE': 'thyroid test', 'DATE': 'September 2nd'}"
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
Cancel my thyroid test appointment for next month,cancel_test,"{'TEST_TYPE': 'thyroid test', 'TIME': 'next month'}"
How long does a CT scan take?,medical_query,{}
Retrieve my discharge summary from September 2nd,retrieve_document,"{'DOCUMENT_TYPE': 'discharge summary', 'DATE': 'September 2nd'}"
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
Retrieve my MRI scan from April 10th,retrieve_document,"{'DOCUMENT_TYPE': 'MRI scan', 'DATE': 'April 10th'}"
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
I want to book a MRI for afternoon September 2nd,book_test,"{'TEST_TYPE': 'MRI', 'TIME': 'afternoon', 'DATE': 'September 2nd'}"
Cancel my cholesterol test appointment for morning August 30th,cancel_test,"{'TEST_TYPE': 'cholesterol test', 'TIME': 'morning', 'DATE': 'August 30th'}"
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
Cancel my  appointment for  September 2nd,cancel_test,{'DATE': 'September 2nd'}
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
I want to book a blood test for,book_test,{'TEST_TYPE': 'blood test'}
Retrieve my discharge summary from August 30th,retrieve_document,"{'DOCUMENT_TYPE': 'discharge summary', 'DATE': 'August 30th'}"
Retrieve my X-ray report from April 10th,retrieve_document,"{'DOCUMENT_TYPE': 'X-ray report', 'DATE': 'April 10th'}"
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
Is it safe to eat before a cholesterol test?,medical_query,{}
I want to book a ultrasound for next week,book_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'next week'}"
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
Is an ultrasound painful?,medical_query,{}
How long does a CT scan take?,medical_query,{}
Can I drink coffee before an ultrasound?,medical_query,{}
Can I take my medications before an ECG?,medical_query,{}
I need to upload my blood test results,upload_document,{'DOCUMENT_TYPE': 'blood test results'}
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
Retrieve my prescription from,retrieve_document,{'DOCUMENT_TYPE': 'prescription'}
Should I fast before my blood test?,medical_query,{}
Retrieve my discharge summary from March 5th,retrieve_document,"{'DOCUMENT_TYPE': 'discharge summary', 'DATE': 'March 5th'}"
I want to book a thyroid test for  June 21st,book_test,"{'TEST_TYPE': 'thyroid test', 'DATE': 'June 21st'}"
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
Cancel my  appointment for  March 5th,cancel_test,{'DATE': 'March 5th'}
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
What should I wear for an X-ray?,medical_query,{}
Should I fast before my blood test?,medical_query,{}
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
Retrieve my X-ray report from July 15th,retrieve_document,"{'DOCUMENT_TYPE': 'X-ray report', 'DATE': 'July 15th'}"
Cancel my  appointment for tomorrow August 30th,cancel_test,"{'TIME': 'tomorrow', 'DATE': 'August 30th'}"
I want to book a cholesterol test for  June 21st,book_test,"{'TEST_TYPE': 'cholesterol test', 'DATE': 'June 21st'}"
Cancel my  appointment for in two days April 10th,cancel_test,"{'TIME': 'in two days', 'DATE': 'April 10th'}"
Retrieve my discharge summary from March 5th,retrieve_document,"{'DOCUMENT_TYPE': 'discharge summary', 'DATE': 'March 5th'}"
Do I need to avoid metal objects for an MRI?,medical_query,{}
Cancel my  appointment for  September 2nd,cancel_test,{'DATE': 'September 2nd'}
Cancel my thyroid test appointment for  September 2nd,cancel_test,"{'TEST_TYPE': 'thyroid test', 'DATE': 'September 2nd'}"
I want to book a CT scan for  June 21st,book_test,"{'TEST_TYPE': 'CT scan', 'DATE': 'June 21st'}"
Is it safe to eat before a cholesterol test?,medical_query,{}
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
I want to book a cholesterol test for  July 15th,book_test,"{'TEST_TYPE': 'cholesterol test', 'DATE': 'July 15th'}"
Is it safe to eat before a cholesterol test?,medical_query,{}
Is it safe to eat before a cholesterol test?,medical_query,{}
I want to book a MRI for  September 2nd,book_test,"{'TEST_TYPE': 'MRI', 'DATE': 'September 2nd'}"
Can I drink coffee before an ultrasound?,medical_query,{}
Should I fast before my blood test?,medical_query,{}
I want to book a MRI for next week,book_test,"{'TEST_TYPE': 'MRI', 'TIME': 'next week'}"
I want to book a CT scan for night September 2nd,book_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'night', 'DATE': 'September 2nd'}"
Retrieve my X-ray report from,retrieve_document,{'DOCUMENT_TYPE': 'X-ray report'}
I want to book a X-ray for afternoon April 10th,book_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'afternoon', 'DATE': 'April 10th'}"
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
Retrieve my prescription from June 21st,retrieve_document,"{'DOCUMENT_TYPE': 'prescription', 'DATE': 'June 21st'}"
Cancel my CT scan appointment for,cancel_test,{'TEST_TYPE': 'CT scan'}
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
I want to book a ultrasound for  March 5th,book_test,"{'TEST_TYPE': 'ultrasound', 'DATE': 'March 5th'}"
Should I fast before my blood test?,medical_query,{}
What should I wear for an X-ray?,medical_query,{}
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
Can I drink coffee before an ultrasound?,medical_query,{}
I want to book a ECG for night April 10th,book_test,"{'TEST_TYPE': 'ECG', 'TIME': 'night', 'DATE': 'April 10th'}"
Retrieve my discharge summary from,retrieve_document,{'DOCUMENT_TYPE': 'discharge summary'}
I want to book a MRI for night July 15th,book_test,"{'TEST_TYPE': 'MRI', 'TIME': 'night', 'DATE': 'July 15th'}"
Cancel my  appointment for morning August 30th,cancel_test,"{'TIME': 'morning', 'DATE': 'August 30th'}"
I want to book a thyroid test for  March 5th,book_test,"{'TEST_TYPE': 'thyroid test', 'DATE': 'March 5th'}"
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
Cancel my  appointment for night,cancel_test,{'TIME': 'night'}
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
What should I wear for an X-ray?,medical_query,{}
Is an ultrasound painful?,medical_query,{}
Retrieve my MRI scan from April 10th,retrieve_document,"{'DOCUMENT_TYPE': 'MRI scan', 'DATE': 'April 10th'}"
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
I want to book a CT scan for in two days April 10th,book_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'in two days', 'DATE': 'April 10th'}"
Retrieve my MRI scan from March 5th,retrieve_document,"{'DOCUMENT_TYPE': 'MRI scan', 'DATE': 'March 5th'}"
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
Retrieve my blood test results from,retrieve_document,{'DOCUMENT_TYPE': 'blood test results'}
I want to book a thyroid test for  September 2nd,book_test,"{'TEST_TYPE': 'thyroid test', 'DATE': 'September 2nd'}"
Cancel my cholesterol test appointment for afternoon August 30th,cancel_test,"{'TEST_TYPE': 'cholesterol test', 'TIME': 'afternoon', 'DATE': 'August 30th'}"
Retrieve my blood test results from,retrieve_document,{'DOCUMENT_TYPE': 'blood test results'}
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
Retrieve my prescription from,retrieve_document,{'DOCUMENT_TYPE': 'prescription'}
I want to book a X-ray for in two days September 2nd,book_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'in two days', 'DATE': 'September 2nd'}"
Retrieve my X-ray report from,retrieve_document,{'DOCUMENT_TYPE': 'X-ray report'}
Can I take my medications before an ECG?,medical_query,{}
How long does a CT scan take?,medical_query,{}
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
I want to book a blood test for  March 5th,book_test,"{'TEST_TYPE': 'blood test', 'DATE': 'March 5th'}"
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
What should I wear for an X-ray?,medical_query,{}
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
Cancel my  appointment for  April 10th,cancel_test,{'DATE': 'April 10th'}
I want to book a MRI for  August 30th,book_test,"{'TEST_TYPE': 'MRI', 'DATE': 'August 30th'}"
I want to book a cholesterol test for evening August 30th,book_test,"{'TEST_TYPE': 'cholesterol test', 'TIME': 'evening', 'DATE': 'August 30th'}"
I want to book a ultrasound for night March 5th,book_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'night', 'DATE': 'March 5th'}"
I want to book a X-ray for  March 5th,book_test,"{'TEST_TYPE': 'X-ray', 'DATE': 'March 5th'}"
Can I take my medications before an ECG?,medical_query,{}
I want to book a ECG for evening September 2nd,book_test,"{'TEST_TYPE': 'ECG', 'TIME': 'evening', 'DATE': 'September 2nd'}"
I want to book a blood test for morning April 10th,book_test,"{'TEST_TYPE': 'blood test', 'TIME': 'morning', 'DATE': 'April 10th'}"
Retrieve my X-ray report from August 30th,retrieve_document,"{'DOCUMENT_TYPE': 'X-ray report', 'DATE': 'August 30th'}"
I need to upload my blood test results,upload_document,{'DOCUMENT_TYPE': 'blood test results'}
Cancel my  appointment for afternoon,cancel_test,{'TIME': 'afternoon'}
Cancel my ultrasound appointment for next week July 15th,cancel_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'next week', 'DATE': 'July 15th'}"
Can I take my medications before an ECG?,medical_query,{}
Is it safe to eat before a cholesterol test?,medical_query,{}
Should I fast before my blood test?,medical_query,{}
Cancel my thyroid test appointment for  April 10th,cancel_test,"{'TEST_TYPE': 'thyroid test', 'DATE': 'April 10th'}"
Retrieve my discharge summary from,retrieve_document,{'DOCUMENT_TYPE': 'discharge summary'}
I want to book a CT scan for night,book_test,"{'TEST_TYPE': 'CT scan', 'TIME': 'night'}"
Retrieve my prescription from,retrieve_document,{'DOCUMENT_TYPE': 'prescription'}
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
Retrieve my blood test results from August 30th,retrieve_document,"{'DOCUMENT_TYPE': 'blood test results', 'DATE': 'August 30th'}"
Cancel my ECG appointment for morning September 2nd,cancel_test,"{'TEST_TYPE': 'ECG', 'TIME': 'morning', 'DATE': 'September 2nd'}"
I want to book a thyroid test for next week September 2nd,book_test,"{'TEST_TYPE': 'thyroid test', 'TIME': 'next week', 'DATE': 'September 2nd'}"
Cancel my X-ray appointment for morning August 30th,cancel_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'morning', 'DATE': 'August 30th'}"
Retrieve my prescription from June 21st,retrieve_document,"{'DOCUMENT_TYPE': 'prescription', 'DATE': 'June 21st'}"
Retrieve my discharge summary from August 30th,retrieve_document,"{'DOCUMENT_TYPE': 'discharge summary', 'DATE': 'August 30th'}"
Is it safe to eat before a cholesterol test?,medical_query,{}
Retrieve my MRI scan from April 10th,retrieve_document,"{'DOCUMENT_TYPE': 'MRI scan', 'DATE': 'April 10th'}"
Is an ultrasound painful?,medical_query,{}
Can I drink coffee before an ultrasound?,medical_query,{}
What should I wear for an X-ray?,medical_query,{}
Cancel my CT scan appointment for  March 5th,cancel_test,"{'TEST_TYPE': 'CT scan', 'DATE': 'March 5th'}"
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
What should I wear for an X-ray?,medical_query,{}
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
I want to book a X-ray for morning June 21st,book_test,"{'TEST_TYPE': 'X-ray', 'TIME': 'morning', 'DATE': 'June 21st'}"
Cancel my cholesterol test appointment for afternoon July 15th,cancel_test,"{'TEST_TYPE': 'cholesterol test', 'TIME': 'afternoon', 'DATE': 'July 15th'}"
Cancel my  appointment for morning,cancel_test,{'TIME': 'morning'}
I need to upload my X-ray report,upload_document,{'DOCUMENT_TYPE': 'X-ray report'}
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
Retrieve my prescription from July 15th,retrieve_document,"{'DOCUMENT_TYPE': 'prescription', 'DATE': 'July 15th'}"
Cancel my  appointment for night June 21st,cancel_test,"{'TIME': 'night', 'DATE': 'June 21st'}"
How long does a CT scan take?,medical_query,{}
Retrieve my MRI scan from August 30th,retrieve_document,"{'DOCUMENT_TYPE': 'MRI scan', 'DATE': 'August 30th'}"
I want to book a ultrasound for,book_test,{'TEST_TYPE': 'ultrasound'}
I need to upload my discharge summary,upload_document,{'DOCUMENT_TYPE': 'discharge summary'}
I want to book a ECG for night June 21st,book_test,"{'TEST_TYPE': 'ECG', 'TIME': 'night', 'DATE': 'June 21st'}"
I want to book a cholesterol test for  July 15th,book_test,"{'TEST_TYPE': 'cholesterol test', 'DATE': 'July 15th'}"
I want to book a blood test for night,book_test,"{'TEST_TYPE': 'blood test', 'TIME': 'night'}"
Should I fast before my blood test?,medical_query,{}
I need to upload my MRI scan,upload_document,{'DOCUMENT_TYPE': 'MRI scan'}
Is an ultrasound painful?,medical_query,{}
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
I want to book a ultrasound for evening,book_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'evening'}"
Retrieve my prescription from,retrieve_document,{'DOCUMENT_TYPE': 'prescription'}
I want to book a blood test for,book_test,{'TEST_TYPE': 'blood test'}
Is it safe to eat before a cholesterol test?,medical_query,{}
Retrieve my blood test results from July 15th,retrieve_document,"{'DOCUMENT_TYPE': 'blood test results', 'DATE': 'July 15th'}"
Do I need to avoid metal objects for an MRI?,medical_query,{}
I want to book a ultrasound for next week July 15th,book_test,"{'TEST_TYPE': 'ultrasound', 'TIME': 'next week', 'DATE': 'July 15th'}"
Is it safe to eat before a cholesterol test?,medical_query,{}
I need to upload my blood test results,upload_document,{'DOCUMENT_TYPE': 'blood test results'}
I want to book a blood test for tomorrow June 21st,book_test,"{'TEST_TYPE': 'blood test', 'TIME': 'tomorrow', 'DATE': 'June 21st'}"
I need to upload my prescription,upload_document,{'DOCUMENT_TYPE': 'prescription'}
Retrieve my prescription from,retrieve_document,{'DOCUMENT_TYPE': 'prescription'}
What should I wear for an X-ray?,medical_query,{}
